White


4_17, 32796
5_16, 16424
6_15, 8260
7_14, 4244
8_13, 3352
9_12, 3272
10_11, 2936
11_10, 4900
12_9, 8612
13_8, 16612
14_7, 32900
15_6, 65632
16_5, 147452
Alpha


4_17, 49184
5_16, 32816
6_15, 28760
7_14, 24764
8_13, 17744
9_12, 12044
10_11, 8656
11_10, 8992
12_9, 11740
13_8, 19168
14_7, 35300
15_6, 67840
16_5, 132612
Mark


4_17, 49184
5_16, 32816
6_15, 24660
7_14, 16556
8_13, 9520
9_12, 6884
10_11, 5796
11_10, 7144
12_9, 10244
13_8, 17944
14_7, 34160
15_6, 66724
16_5, 131940
Number


4_17, 32796
5_16, 24620
6_15, 20560
7_14, 12452
8_13, 9520
9_12, 6884
10_11, 5796
11_10, 7540
12_9, 10584
13_8, 18088
14_7, 33820
15_6, 66148
16_5, 131452
Punctuation


4_17, 32796
5_16, 24620
6_15, 16460
7_14, 10400
8_13, 7464
9_12, 5852
10_11, 5276
11_10, 6880
12_9, 10584
13_8, 18124
14_7, 34140
15_6, 66508
16_5, 131724
Symbol


4_17, 32796
5_16, 24620
6_15, 20560
7_14, 14504
8_13, 9520
9_12, 6884
10_11, 5536
11_10, 7408
12_9, 11060
13_8, 18556
14_7, 34460
15_6, 66856
16_5, 131948
Space


4_17, 32796
5_16, 16424
6_15, 8260
7_14, 4244
8_13, 3352
9_12, 3272
10_11, 2936
11_10, 4900
12_9, 8612
13_8, 16612
14_7, 32880
15_6, 65620
16_5, 131132
Graphical


4_17, 65572
5_16, 41012
6_15, 32860
7_14, 26816
8_13, 18772
9_12, 13076
10_11, 9176
11_10, 9916
12_9, 12624
13_8, 19852
14_7, 35740
15_6, 67972
16_5, 132732
Control


4_17, 32796
5_16, 16424
6_15, 8260
7_14, 4244
8_13, 2324
9_12, 1724
10_11, 1896
11_10, 4372
12_9, 8340
13_8, 16468
14_7, 32840
15_6, 65584
16_5, 147452
Format


4_17, 49184
5_16, 32816
6_15, 24660
7_14, 12452
8_13, 7464
9_12, 4304
10_11, 3196
11_10, 5164
12_9, 8748
13_8, 16756
14_7, 33000
15_6, 65704
16_5, 131188
Noncharacter


4_17, 81960
5_16, 49208
6_15, 36960
7_14, 28868
8_13, 19800
9_12, 13592
10_11, 9436
11_10, 10048
12_9, 12556
13_8, 19888
14_7, 35720
15_6, 67912
16_5, 132740
