White,,,Alpha,,,Mark,,,Number,,,Punctuation,,,Symbol,,,Space,,,Graphical,,,Control,,,Format,,,Noncharacter,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6_4_4_7 ,584,, 5_4_4_8 ,3976,, 5_4_4_8 ,2256,, 6_4_4_7 ,2176,, 5_4_4_8 ,2432,, 6_4_4_7 ,2864,, 6_4_4_7 ,560,, 5_4_4_8 ,4840,, 5_4_4_8 ,328,, 6_4_4_7 ,904,, 6_4_4_7 ,4904
 5_4_4_8 ,608,, 4_5_4_8 ,4008,, 4_5_4_8 ,2288,, 5_5_4_7 ,2192,, 6_4_4_7 ,2432,, 5_5_4_7 ,2880,, 5_5_4_7 ,600,, 6_4_4_7 ,4864,, 6_4_4_7 ,352,, 5_5_4_7 ,944,, 5_4_4_8 ,4944
 5_5_4_7 ,624,, 6_4_4_7 ,4208,, 6_4_4_7 ,2448,, 7_4_4_6 ,2216,, 7_4_4_6 ,2440,, 4_6_4_7 ,2944,, 5_4_4_8 ,608,, 4_5_4_8 ,4888,, 4_5_4_8 ,368,, 5_4_4_8 ,976,, 4_5_4_8 ,4968
 7_4_4_6 ,640,, 5_5_4_7 ,4224,, 5_5_4_7 ,2488,, 4_6_4_7 ,2256,, 4_5_4_8 ,2448,, 5_4_4_8 ,2952,, 7_4_4_6 ,624,, 5_5_4_7 ,4904,, 5_5_4_7 ,392,, 7_4_4_6 ,1000,, 5_5_4_7 ,4968
 4_5_4_8 ,648,, 4_4_4_9 ,4240,, 5_4_5_7 ,2552,, 6_5_4_6 ,2264,, 6_5_4_6 ,2464,, 4_5_4_8 ,2968,, 6_5_4_6 ,632,, 4_6_4_7 ,5048,, 5_4_5_7 ,416,, 4_5_4_8 ,1008,, 4_6_4_7 ,5064
 6_5_4_6 ,648,, 4_4_5_8 ,4312,, 4_4_5_8 ,2560,, 5_4_5_7 ,2312,, 5_5_4_7 ,2472,, 5_4_5_7 ,3008,, 4_5_4_8 ,648,, 4_4_5_8 ,5240,, 7_4_4_6 ,416,, 4_6_4_7 ,1048,, 4_4_4_9 ,5256
 5_4_5_7 ,704,, 4_6_4_7 ,4328,, 4_5_5_7 ,2584,, 5_6_4_6 ,2312,, 7_5_4_5 ,2512,, 4_5_5_7 ,3024,, 7_5_4_5 ,656,, 4_4_4_9 ,5264,, 6_4_5_6 ,424,, 6_5_4_6 ,1104,, 7_4_4_6 ,5344
 4_6_4_7 ,736,, 5_4_5_7 ,4568,, 4_6_4_7 ,2592,, 7_5_4_5 ,2320,, 7_4_5_5 ,2520,, 7_4_5_5 ,3056,, 5_4_5_7 ,680,, 5_4_5_7 ,5288,, 6_5_4_6 ,424,, 5_4_5_7 ,1112,, 4_4_5_8 ,5352
 4_5_5_7 ,744,, 4_5_5_7 ,4600,, 7_5_4_5 ,2696,, 4_5_5_7 ,2328,, 5_4_5_7 ,2528,, 6_5_5_5 ,3072,, 4_6_4_7 ,712,, 4_5_5_7 ,5336,, 4_5_5_7 ,456,, 6_4_5_6 ,1128,, 5_4_5_7 ,5360
 5_6_4_6 ,760,, 6_5_4_6 ,4832,, 7_4_4_6 ,2744,, 6_4_5_6 ,2328,, 4_6_4_7 ,2536,, 5_6_5_5 ,3120,, 4_5_5_7 ,720,, 6_5_4_6 ,5360,, 5_5_5_6 ,464,, 4_5_5_7 ,1144,, 6_5_4_6 ,5360
 6_4_5_6 ,776,, 7_4_4_6 ,4864,, 4_4_4_9 ,2760,, 5_5_5_6 ,2344,, 4_5_5_7 ,2544,, 6_4_5_6 ,3144,, 6_6_4_5 ,736,, 7_4_4_6 ,5368,, 4_6_4_7 ,504,, 5_5_5_6 ,1168,, 4_5_5_7 ,5384
 5_5_5_6 ,816,, 5_6_4_6 ,4872,, 8_4_4_5 ,2808,, 4_6_5_6 ,2408,, 6_5_5_5 ,2544,, 5_5_5_6 ,3160,, 5_6_4_6 ,744,, 5_6_4_6 ,5448,, 5_6_4_6 ,536,, 5_6_4_6 ,1200,, 5_6_4_6 ,5496
 4_4_6_7 ,832,, 4_7_4_6 ,5176,, 6_5_4_6 ,2816,, 6_6_4_5 ,2488,, 5_6_4_6 ,2568,, 7_4_4_6 ,3168,, 6_4_5_6 ,760,, 6_4_5_6 ,5552,, 4_6_5_6 ,576,, 7_4_5_5 ,1208,, 6_4_5_6 ,5552
 4_6_5_6 ,928,, 6_4_5_6 ,5192,, 7_4_5_5 ,2864,, 8_4_4_5 ,2488,, 6_4_5_6 ,2576,, 4_4_5_8 ,3184,, 5_5_5_6 ,800,, 5_5_5_6 ,5592,, 5_4_6_6 ,584,, 4_6_5_6 ,1272,, 5_5_5_6 ,5616
 4_4_5_8 ,1008,, 5_5_5_6 ,5208,, 4_4_6_7 ,2904,, 4_7_4_6 ,2512,, 5_5_5_6 ,2616,, 6_5_4_6 ,3184,, 4_4_6_7 ,808,, 4_6_5_6 ,5736,, 4_5_6_6 ,624,, 6_5_5_5 ,1312,, 4_6_5_6 ,5712
 5_4_6_6 ,1056,, 4_4_6_7 ,5288,, 5_6_4_6 ,2912,, 5_4_4_8 ,2512,, 6_6_4_5 ,2632,, 4_6_5_6 ,3224,, 7_4_5_5 ,808,, 4_7_4_6 ,5856,, 4_7_4_6 ,840,, 4_4_5_8 ,1328,, 4_7_4_6 ,5800
 4_7_4_6 ,1064,, 4_6_5_6 ,5312,, 6_6_4_5 ,2912,, 4_5_4_8 ,2528,, 5_6_5_5 ,2648,, 5_6_4_6 ,3232,, 6_5_5_5 ,816,, 4_4_6_7 ,6136,, 4_4_5_8 ,848,, 4_4_4_9 ,1392,, 7_4_5_5 ,6088
 4_5_6_6 ,1096,, 5_4_6_6 ,6064,, 6_4_5_6 ,2936,, 7_4_5_5 ,2544,, 4_6_5_6 ,2680,, 4_7_5_5 ,3320,, 4_6_5_6 ,912,, 5_4_6_6 ,6552,, 4_4_4_9 ,888,, 5_6_5_5 ,1408,, 4_4_6_7 ,6248
 4_4_4_9 ,1176,, 4_5_6_6 ,6096,, 6_5_5_5 ,2936,, 6_5_5_5 ,2592,, 4_4_5_8 ,2704,, 4_7_4_6 ,3432,, 5_6_5_5 ,928,, 4_5_6_6 ,6600,, 4_4_7_6 ,984,, 4_7_4_6 ,1504,, 6_5_5_5 ,6280
 4_4_7_6 ,1312,, 4_4_7_6 ,7552,, 5_5_5_6 ,2976,, 5_6_5_5 ,2640,, 8_4_4_5 ,2736,, 4_4_6_7 ,3496,, 4_4_5_8 ,1008,, 4_4_7_6 ,8296,, 4_4_6_7 ,1016,, 4_4_6_7 ,1544,, 7_5_4_5 ,6296
